Syed,5,"Thank you so much, livesaver!",2014-02-01 13:10:00,1
Tchad,0,"Useless, too slow and volume to low",2014-06-05 14:20:10,1
VidaLoca,3,"Good Info, would be better if could be understood more easily",2015-09-01 20:30:10,1
Cyd,4,Thank you and Good job,2015-08-06 21:00:00,2
Lumiere,5,Great Job! Keep up the good work and thank you ,2015-06-02 22:00:00,2
Gaga,1,Hated it and could not follow,2014-11-02 23:23:23,2
Jewels,4,Very informative. Thanks,2014-12-13 21:24:01,5
Andre,5,"Thank you for doing this, Huge Help!",2015-01-29 10:08:39,5
Pasqua,3,"So-So, could be better ",2014-11-09 05:30:32,6
StartBright,4,"Very Nice, it was what I needed!",2015-10-01 20:34:56,7
Caramel,,Love the whole series… Great Job,2015-03-16 22:14:29,6
ArielleP.,,"Thank you big time, save me a lot of time!",2015-06-18 17:49:55,7
